E0=1.725986	epsilon=0.020000
-6.000000	0.000000
-5.988000	0.000000
-5.976000	0.000001
-5.964000	0.000001
-5.952000	0.000001
-5.940000	0.000001
-5.928000	0.000002
-5.916000	0.000002
-5.904000	0.000002
-5.892000	0.000003
-5.880000	0.000003
-5.868000	0.000003
-5.856000	0.000004
-5.844000	0.000004
-5.832000	0.000004
-5.820000	0.000005
-5.808000	0.000005
-5.796000	0.000006
-5.784000	0.000006
-5.772000	0.000007
-5.760000	0.000007
-5.748000	0.000008
-5.736000	0.000008
-5.724000	0.000009
-5.712000	0.000009
-5.700000	0.000010
-5.688000	0.000011
-5.676000	0.000012
-5.664000	0.000012
-5.652000	0.000013
-5.640000	0.000014
-5.628000	0.000015
-5.616000	0.000016
-5.604000	0.000017
-5.592000	0.000019
-5.580000	0.000020
-5.568000	0.000021
-5.556000	0.000022
-5.544000	0.000024
-5.532000	0.000025
-5.520000	0.000027
-5.508000	0.000029
-5.496000	0.000031
-5.484000	0.000033
-5.472000	0.000035
-5.460000	0.000037
-5.448000	0.000039
-5.436000	0.000041
-5.424000	0.000044
-5.412000	0.000047
-5.400000	0.000050
-5.388000	0.000053
-5.376000	0.000056
-5.364000	0.000059
-5.352000	0.000063
-5.340000	0.000066
-5.328000	0.000070
-5.316000	0.000075
-5.304000	0.000079
-5.292000	0.000084
-5.280000	0.000088
-5.268000	0.000094
-5.256000	0.000099
-5.244000	0.000105
-5.232000	0.000111
-5.220000	0.000117
-5.208000	0.000124
-5.196000	0.000131
-5.184000	0.000138
-5.172000	0.000146
-5.160000	0.000154
-5.148000	0.000163
-5.136000	0.000172
-5.124000	0.000182
-5.112000	0.000192
-5.100000	0.000202
-5.088000	0.000213
-5.076000	0.000225
-5.064000	0.000237
-5.052000	0.000250
-5.040000	0.000263
-5.028000	0.000278
-5.016000	0.000292
-5.004000	0.000308
-4.992000	0.000324
-4.980000	0.000341
-4.968000	0.000359
-4.956000	0.000378
-4.944000	0.000398
-4.932000	0.000418
-4.920000	0.000440
-4.908000	0.000463
-4.896000	0.000486
-4.884000	0.000511
-4.872000	0.000537
-4.860000	0.000564
-4.848000	0.000593
-4.836000	0.000622
-4.824000	0.000653
-4.812000	0.000686
-4.800000	0.000720
-4.788000	0.000755
-4.776000	0.000792
-4.764000	0.000831
-4.752000	0.000871
-4.740000	0.000913
-4.728000	0.000957
-4.716000	0.001003
-4.704000	0.001051
-4.692000	0.001101
-4.680000	0.001153
-4.668000	0.001207
-4.656000	0.001264
-4.644000	0.001323
-4.632000	0.001384
-4.620000	0.001448
-4.608000	0.001515
-4.596000	0.001584
-4.584000	0.001656
-4.572000	0.001731
-4.560000	0.001810
-4.548000	0.001891
-4.536000	0.001976
-4.524000	0.002064
-4.512000	0.002155
-4.500000	0.002251
-4.488000	0.002349
-4.476000	0.002452
-4.464000	0.002559
-4.452000	0.002670
-4.440000	0.002785
-4.428000	0.002905
-4.416000	0.003029
-4.404000	0.003158
-4.392000	0.003291
-4.380000	0.003430
-4.368000	0.003574
-4.356000	0.003723
-4.344000	0.003878
-4.332000	0.004038
-4.320000	0.004204
-4.308000	0.004376
-4.296000	0.004555
-4.284000	0.004739
-4.272000	0.004930
-4.260000	0.005128
-4.248000	0.005333
-4.236000	0.005545
-4.224000	0.005765
-4.212000	0.005992
-4.200000	0.006227
-4.188000	0.006469
-4.176000	0.006720
-4.164000	0.006980
-4.152000	0.007248
-4.140000	0.007525
-4.128000	0.007811
-4.116000	0.008106
-4.104000	0.008412
-4.092000	0.008727
-4.080000	0.009052
-4.068000	0.009388
-4.056000	0.009734
-4.044000	0.010091
-4.032000	0.010460
-4.020000	0.010840
-4.008000	0.011231
-3.996000	0.011635
-3.984000	0.012051
-3.972000	0.012480
-3.960000	0.012922
-3.948000	0.013377
-3.936000	0.013845
-3.924000	0.014328
-3.912000	0.014824
-3.900000	0.015335
-3.888000	0.015861
-3.876000	0.016402
-3.864000	0.016959
-3.852000	0.017531
-3.840000	0.018120
-3.828000	0.018725
-3.816000	0.019346
-3.804000	0.019985
-3.792000	0.020642
-3.780000	0.021316
-3.768000	0.022009
-3.756000	0.022720
-3.744000	0.023450
-3.732000	0.024199
-3.720000	0.024968
-3.708000	0.025757
-3.696000	0.026567
-3.684000	0.027397
-3.672000	0.028248
-3.660000	0.029121
-3.648000	0.030016
-3.636000	0.030933
-3.624000	0.031872
-3.612000	0.032835
-3.600000	0.033821
-3.588000	0.034831
-3.576000	0.035864
-3.564000	0.036923
-3.552000	0.038006
-3.540000	0.039115
-3.528000	0.040249
-3.516000	0.041409
-3.504000	0.042596
-3.492000	0.043809
-3.480000	0.045050
-3.468000	0.046318
-3.456000	0.047614
-3.444000	0.048938
-3.432000	0.050291
-3.420000	0.051672
-3.408000	0.053083
-3.396000	0.054524
-3.384000	0.055995
-3.372000	0.057496
-3.360000	0.059027
-3.348000	0.060590
-3.336000	0.062184
-3.324000	0.063810
-3.312000	0.065468
-3.300000	0.067158
-3.288000	0.068881
-3.276000	0.070636
-3.264000	0.072425
-3.252000	0.074248
-3.240000	0.076104
-3.228000	0.077994
-3.216000	0.079918
-3.204000	0.081877
-3.192000	0.083871
-3.180000	0.085900
-3.168000	0.087964
-3.156000	0.090064
-3.144000	0.092199
-3.132000	0.094371
-3.120000	0.096578
-3.108000	0.098821
-3.096000	0.101101
-3.084000	0.103418
-3.072000	0.105771
-3.060000	0.108161
-3.048000	0.110588
-3.036000	0.113053
-3.024000	0.115554
-3.012000	0.118092
-3.000000	0.120668
-2.988000	0.123281
-2.976000	0.125931
-2.964000	0.128619
-2.952000	0.131344
-2.940000	0.134107
-2.928000	0.136907
-2.916000	0.139744
-2.904000	0.142618
-2.892000	0.145529
-2.880000	0.148478
-2.868000	0.151463
-2.856000	0.154485
-2.844000	0.157544
-2.832000	0.160640
