E0=0.568652	epsilon=0.030000
-6.000000	0.000000
-5.988000	0.000000
-5.976000	0.000000
-5.964000	0.000000
-5.952000	0.000000
-5.940000	0.000000
-5.928000	0.000000
-5.916000	0.000000
-5.904000	0.000000
-5.892000	0.000000
-5.880000	0.000000
-5.868000	0.000000
-5.856000	0.000000
-5.844000	0.000000
-5.832000	0.000000
-5.820000	0.000000
-5.808000	0.000000
-5.796000	0.000000
-5.784000	0.000000
-5.772000	0.000000
-5.760000	0.000000
-5.748000	0.000000
-5.736000	0.000000
-5.724000	0.000000
-5.712000	0.000000
-5.700000	0.000000
-5.688000	0.000000
-5.676000	0.000001
-5.664000	0.000001
-5.652000	0.000001
-5.640000	0.000001
-5.628000	0.000001
-5.616000	0.000001
-5.604000	0.000001
-5.592000	0.000001
-5.580000	0.000001
-5.568000	0.000001
-5.556000	0.000001
-5.544000	0.000001
-5.532000	0.000001
-5.520000	0.000001
-5.508000	0.000001
-5.496000	0.000002
-5.484000	0.000002
-5.472000	0.000002
-5.460000	0.000002
-5.448000	0.000002
-5.436000	0.000002
-5.424000	0.000002
-5.412000	0.000003
-5.400000	0.000003
-5.388000	0.000003
-5.376000	0.000003
-5.364000	0.000003
-5.352000	0.000004
-5.340000	0.000004
-5.328000	0.000004
-5.316000	0.000004
-5.304000	0.000005
-5.292000	0.000005
-5.280000	0.000005
-5.268000	0.000006
-5.256000	0.000006
-5.244000	0.000007
-5.232000	0.000007
-5.220000	0.000008
-5.208000	0.000008
-5.196000	0.000009
-5.184000	0.000009
-5.172000	0.000010
-5.160000	0.000011
-5.148000	0.000011
-5.136000	0.000012
-5.124000	0.000013
-5.112000	0.000014
-5.100000	0.000015
-5.088000	0.000016
-5.076000	0.000017
-5.064000	0.000018
-5.052000	0.000019
-5.040000	0.000020
-5.028000	0.000021
-5.016000	0.000023
-5.004000	0.000024
-4.992000	0.000026
-4.980000	0.000027
-4.968000	0.000029
-4.956000	0.000031
-4.944000	0.000033
-4.932000	0.000035
-4.920000	0.000037
-4.908000	0.000039
-4.896000	0.000041
-4.884000	0.000044
-4.872000	0.000047
-4.860000	0.000049
-4.848000	0.000052
-4.836000	0.000055
-4.824000	0.000059
-4.812000	0.000062
-4.800000	0.000066
-4.788000	0.000070
-4.776000	0.000074
-4.764000	0.000078
-4.752000	0.000083
-4.740000	0.000088
-4.728000	0.000093
-4.716000	0.000098
-4.704000	0.000103
-4.692000	0.000109
-4.680000	0.000116
-4.668000	0.000122
-4.656000	0.000129
-4.644000	0.000136
-4.632000	0.000144
-4.620000	0.000152
-4.608000	0.000160
-4.596000	0.000169
-4.584000	0.000178
-4.572000	0.000188
-4.560000	0.000198
-4.548000	0.000208
-4.536000	0.000220
-4.524000	0.000231
-4.512000	0.000244
-4.500000	0.000257
-4.488000	0.000270
-4.476000	0.000284
-4.464000	0.000299
-4.452000	0.000315
-4.440000	0.000331
-4.428000	0.000348
-4.416000	0.000366
-4.404000	0.000384
-4.392000	0.000404
-4.380000	0.000424
-4.368000	0.000446
-4.356000	0.000468
-4.344000	0.000491
-4.332000	0.000516
-4.320000	0.000541
-4.308000	0.000568
-4.296000	0.000596
-4.284000	0.000625
-4.272000	0.000655
-4.260000	0.000687
-4.248000	0.000720
-4.236000	0.000754
-4.224000	0.000790
-4.212000	0.000827
-4.200000	0.000866
-4.188000	0.000907
-4.176000	0.000949
-4.164000	0.000993
-4.152000	0.001039
-4.140000	0.001087
-4.128000	0.001137
-4.116000	0.001189
-4.104000	0.001243
-4.092000	0.001299
-4.080000	0.001357
-4.068000	0.001418
-4.056000	0.001481
-4.044000	0.001547
-4.032000	0.001615
-4.020000	0.001686
-4.008000	0.001759
-3.996000	0.001836
-3.984000	0.001915
-3.972000	0.001998
-3.960000	0.002083
-3.948000	0.002172
-3.936000	0.002264
-3.924000	0.002359
-3.912000	0.002458
-3.900000	0.002561
-3.888000	0.002667
-3.876000	0.002778
-3.864000	0.002892
-3.852000	0.003010
-3.840000	0.003133
-3.828000	0.003260
-3.816000	0.003391
-3.804000	0.003527
-3.792000	0.003668
-3.780000	0.003814
-3.768000	0.003964
-3.756000	0.004120
-3.744000	0.004281
-3.732000	0.004448
-3.720000	0.004620
-3.708000	0.004798
-3.696000	0.004982
-3.684000	0.005172
-3.672000	0.005368
-3.660000	0.005571
-3.648000	0.005780
-3.636000	0.005995
-3.624000	0.006218
-3.612000	0.006448
-3.600000	0.006685
-3.588000	0.006929
-3.576000	0.007182
-3.564000	0.007441
-3.552000	0.007709
-3.540000	0.007985
-3.528000	0.008270
-3.516000	0.008563
-3.504000	0.008864
-3.492000	0.009175
-3.480000	0.009495
-3.468000	0.009824
-3.456000	0.010163
-3.444000	0.010512
-3.432000	0.010871
-3.420000	0.011240
-3.408000	0.011619
-3.396000	0.012009
-3.384000	0.012410
-3.372000	0.012823
-3.360000	0.013246
-3.348000	0.013681
-3.336000	0.014128
-3.324000	0.014587
-3.312000	0.015059
-3.300000	0.015543
-3.288000	0.016039
-3.276000	0.016549
-3.264000	0.017072
-3.252000	0.017609
-3.240000	0.018159
-3.228000	0.018724
-3.216000	0.019302
-3.204000	0.019896
-3.192000	0.020504
-3.180000	0.021127
-3.168000	0.021765
-3.156000	0.022419
-3.144000	0.023089
-3.132000	0.023775
-3.120000	0.024477
-3.108000	0.025196
-3.096000	0.025932
-3.084000	0.026685
-3.072000	0.027455
-3.060000	0.028243
-3.048000	0.029049
-3.036000	0.029873
-3.024000	0.030716
-3.012000	0.031577
-3.000000	0.032457
-2.988000	0.033357
-2.976000	0.034275
-2.964000	0.035214
-2.952000	0.036173
-2.940000	0.037152
-2.928000	0.038151
-2.916000	0.039172
-2.904000	0.040213
-2.892000	0.041276
-2.880000	0.042360
-2.868000	0.043466
-2.856000	0.044594
-2.844000	0.045744
-2.832000	0.046917
