E0=3.228912	epsilon=0.030000
-2.532000	0.399905
-2.520000	0.404831
-2.508000	0.409732
-2.496000	0.414606
-2.484000	0.419450
-2.472000	0.424261
-2.460000	0.429036
-2.448000	0.433774
-2.436000	0.438471
-2.424000	0.443125
-2.412000	0.447732
-2.400000	0.452291
-2.388000	0.456799
-2.376000	0.461252
-2.364000	0.465648
-2.352000	0.469984
-2.340000	0.474258
-2.328000	0.478466
-2.316000	0.482606
-2.304000	0.486675
-2.292000	0.490670
-2.280000	0.494589
-2.268000	0.498428
-2.256000	0.502185
-2.244000	0.505856
-2.232000	0.509440
-2.220000	0.512933
-2.208000	0.516332
-2.196000	0.519636
-2.184000	0.522840
-2.172000	0.525942
-2.160000	0.528940
-2.148000	0.531831
-2.136000	0.534612
-2.124000	0.537281
-2.112000	0.539834
-2.100000	0.542270
-2.088000	0.544585
-2.076000	0.546777
-2.064000	0.548844
-2.052000	0.550783
-2.040000	0.552592
-2.028000	0.554269
-2.016000	0.555810
-2.004000	0.557214
-1.992000	0.558479
-1.980000	0.559601
-1.968000	0.560580
-1.956000	0.561413
-1.944000	0.562098
-1.932000	0.562633
-1.920000	0.563016
-1.908000	0.563245
-1.896000	0.563318
-1.884000	0.563234
-1.872000	0.562990
-1.860000	0.562586
-1.848000	0.562020
-1.836000	0.561290
-1.824000	0.560395
-1.812000	0.559333
-1.800000	0.558103
-1.788000	0.556705
-1.776000	0.555136
-1.764000	0.553397
-1.752000	0.551485
-1.740000	0.549400
-1.728000	0.547142
-1.716000	0.544710
-1.704000	0.542102
-1.692000	0.539319
-1.680000	0.536360
-1.668000	0.533224
-1.656000	0.529912
-1.644000	0.526423
-1.632000	0.522758
-1.620000	0.518915
-1.608000	0.514896
-1.596000	0.510700
-1.584000	0.506329
-1.572000	0.501781
-1.560000	0.497058
-1.548000	0.492160
-1.536000	0.487088
-1.524000	0.481843
-1.512000	0.476425
-1.500000	0.470836
-1.488000	0.465077
-1.476000	0.459148
-1.464000	0.453052
-1.452000	0.446788
-1.440000	0.440360
-1.428000	0.433768
-1.416000	0.427014
-1.404000	0.420099
-1.392000	0.413027
-1.380000	0.405797
-1.368000	0.398414
-1.356000	0.390878
-1.344000	0.383192
-1.332000	0.375358
-1.320000	0.367379
-1.308000	0.359257
-1.296000	0.350994
-1.284000	0.342594
-1.272000	0.334059
-1.260000	0.325392
-1.248000	0.316596
-1.236000	0.307674
-1.224000	0.298629
-1.212000	0.289464
-1.200000	0.280182
-1.188000	0.270788
-1.176000	0.261283
-1.164000	0.251672
-1.152000	0.241959
-1.140000	0.232146
-1.128000	0.222238
-1.116000	0.212239
-1.104000	0.202151
-1.092000	0.191980
-1.080000	0.181729
-1.068000	0.171403
-1.056000	0.161004
-1.044000	0.150539
-1.032000	0.140010
-1.020000	0.129421
-1.008000	0.118778
-0.996000	0.108085
-0.984000	0.097346
-0.972000	0.086566
-0.960000	0.075748
-0.948000	0.064898
-0.936000	0.054020
-0.924000	0.043119
-0.912000	0.032200
-0.900000	0.021266
-0.888000	0.010323
