E0=0.526734	epsilon=0.010000
-6.000000	0.000000
-5.988000	0.000000
-5.976000	0.000001
-5.964000	0.000001
-5.952000	0.000002
-5.940000	0.000002
-5.928000	0.000003
-5.916000	0.000003
-5.904000	0.000003
-5.892000	0.000004
-5.880000	0.000004
-5.868000	0.000005
-5.856000	0.000005
-5.844000	0.000006
-5.832000	0.000006
-5.820000	0.000007
-5.808000	0.000008
-5.796000	0.000008
-5.784000	0.000009
-5.772000	0.000009
-5.760000	0.000010
-5.748000	0.000011
-5.736000	0.000012
-5.724000	0.000012
-5.712000	0.000013
-5.700000	0.000014
-5.688000	0.000015
-5.676000	0.000016
-5.664000	0.000017
-5.652000	0.000018
-5.640000	0.000019
-5.628000	0.000020
-5.616000	0.000021
-5.604000	0.000022
-5.592000	0.000023
-5.580000	0.000025
-5.568000	0.000026
-5.556000	0.000027
-5.544000	0.000029
-5.532000	0.000030
-5.520000	0.000032
-5.508000	0.000034
-5.496000	0.000035
-5.484000	0.000037
-5.472000	0.000039
-5.460000	0.000041
-5.448000	0.000043
-5.436000	0.000046
-5.424000	0.000048
-5.412000	0.000050
-5.400000	0.000053
-5.388000	0.000056
-5.376000	0.000058
-5.364000	0.000061
-5.352000	0.000064
-5.340000	0.000067
-5.328000	0.000071
-5.316000	0.000074
-5.304000	0.000078
-5.292000	0.000082
-5.280000	0.000086
-5.268000	0.000090
-5.256000	0.000094
-5.244000	0.000099
-5.232000	0.000103
-5.220000	0.000108
-5.208000	0.000113
-5.196000	0.000119
-5.184000	0.000124
-5.172000	0.000130
-5.160000	0.000136
-5.148000	0.000142
-5.136000	0.000149
-5.124000	0.000156
-5.112000	0.000163
-5.100000	0.000171
-5.088000	0.000178
-5.076000	0.000186
-5.064000	0.000195
-5.052000	0.000204
-5.040000	0.000213
-5.028000	0.000222
-5.016000	0.000232
-5.004000	0.000243
-4.992000	0.000253
-4.980000	0.000265
-4.968000	0.000276
-4.956000	0.000288
-4.944000	0.000301
-4.932000	0.000314
-4.920000	0.000328
-4.908000	0.000342
-4.896000	0.000356
-4.884000	0.000372
-4.872000	0.000387
-4.860000	0.000404
-4.848000	0.000421
-4.836000	0.000439
-4.824000	0.000457
-4.812000	0.000476
-4.800000	0.000496
-4.788000	0.000517
-4.776000	0.000538
-4.764000	0.000561
-4.752000	0.000584
-4.740000	0.000608
-4.728000	0.000633
-4.716000	0.000658
-4.704000	0.000685
-4.692000	0.000713
-4.680000	0.000741
-4.668000	0.000771
-4.656000	0.000802
-4.644000	0.000834
-4.632000	0.000867
-4.620000	0.000901
-4.608000	0.000936
-4.596000	0.000973
-4.584000	0.001011
-4.572000	0.001050
-4.560000	0.001091
-4.548000	0.001133
-4.536000	0.001177
-4.524000	0.001222
-4.512000	0.001268
-4.500000	0.001316
-4.488000	0.001366
-4.476000	0.001418
-4.464000	0.001471
-4.452000	0.001526
-4.440000	0.001583
-4.428000	0.001642
-4.416000	0.001702
-4.404000	0.001765
-4.392000	0.001830
-4.380000	0.001897
-4.368000	0.001966
-4.356000	0.002037
-4.344000	0.002111
-4.332000	0.002187
-4.320000	0.002265
-4.308000	0.002346
-4.296000	0.002429
-4.284000	0.002515
-4.272000	0.002604
-4.260000	0.002695
-4.248000	0.002790
-4.236000	0.002887
-4.224000	0.002987
-4.212000	0.003090
-4.200000	0.003197
-4.188000	0.003306
-4.176000	0.003419
-4.164000	0.003536
-4.152000	0.003656
-4.140000	0.003779
-4.128000	0.003906
-4.116000	0.004037
-4.104000	0.004171
-4.092000	0.004310
-4.080000	0.004452
-4.068000	0.004599
-4.056000	0.004750
-4.044000	0.004905
-4.032000	0.005064
-4.020000	0.005228
-4.008000	0.005397
-3.996000	0.005571
-3.984000	0.005749
-3.972000	0.005932
-3.960000	0.006120
-3.948000	0.006313
-3.936000	0.006512
-3.924000	0.006716
-3.912000	0.006926
-3.900000	0.007141
-3.888000	0.007362
-3.876000	0.007589
-3.864000	0.007821
-3.852000	0.008060
-3.840000	0.008306
-3.828000	0.008557
-3.816000	0.008815
-3.804000	0.009080
-3.792000	0.009351
-3.780000	0.009630
-3.768000	0.009915
-3.756000	0.010208
-3.744000	0.010508
-3.732000	0.010816
-3.720000	0.011131
-3.708000	0.011454
-3.696000	0.011785
-3.684000	0.012124
-3.672000	0.012471
-3.660000	0.012826
-3.648000	0.013190
-3.636000	0.013563
-3.624000	0.013945
-3.612000	0.014335
-3.600000	0.014735
-3.588000	0.015144
-3.576000	0.015563
-3.564000	0.015991
-3.552000	0.016429
-3.540000	0.016877
-3.528000	0.017336
-3.516000	0.017804
-3.504000	0.018283
-3.492000	0.018773
-3.480000	0.019274
-3.468000	0.019785
-3.456000	0.020308
-3.444000	0.020842
-3.432000	0.021388
-3.420000	0.021946
-3.408000	0.022515
-3.396000	0.023096
-3.384000	0.023690
-3.372000	0.024296
-3.360000	0.024915
-3.348000	0.025547
-3.336000	0.026192
-3.324000	0.026849
-3.312000	0.027521
-3.300000	0.028205
-3.288000	0.028904
-3.276000	0.029616
-3.264000	0.030343
-3.252000	0.031084
-3.240000	0.031839
-3.228000	0.032609
-3.216000	0.033394
-3.204000	0.034194
-3.192000	0.035010
-3.180000	0.035840
-3.168000	0.036687
-3.156000	0.037549
-3.144000	0.038427
-3.132000	0.039321
-3.120000	0.040232
-3.108000	0.041159
-3.096000	0.042103
-3.084000	0.043064
-3.072000	0.044042
-3.060000	0.045037
-3.048000	0.046050
-3.036000	0.047080
-3.024000	0.048129
-3.012000	0.049195
-3.000000	0.050279
-2.988000	0.051382
-2.976000	0.052503
-2.964000	0.053643
-2.952000	0.054802
-2.940000	0.055980
-2.928000	0.057177
-2.916000	0.058394
-2.904000	0.059630
-2.892000	0.060886
-2.880000	0.062161
-2.868000	0.063457
-2.856000	0.064773
-2.844000	0.066109
-2.832000	0.067466
