E0=1.810017	epsilon=0.030000
-6.000000	0.000000
-5.988000	0.000000
-5.976000	0.000000
-5.964000	0.000000
-5.952000	0.000000
-5.940000	0.000000
-5.928000	0.000000
-5.916000	0.000000
-5.904000	0.000000
-5.892000	0.000000
-5.880000	0.000001
-5.868000	0.000001
-5.856000	0.000001
-5.844000	0.000001
-5.832000	0.000001
-5.820000	0.000001
-5.808000	0.000001
-5.796000	0.000001
-5.784000	0.000001
-5.772000	0.000001
-5.760000	0.000001
-5.748000	0.000001
-5.736000	0.000002
-5.724000	0.000002
-5.712000	0.000002
-5.700000	0.000002
-5.688000	0.000002
-5.676000	0.000002
-5.664000	0.000003
-5.652000	0.000003
-5.640000	0.000003
-5.628000	0.000003
-5.616000	0.000003
-5.604000	0.000004
-5.592000	0.000004
-5.580000	0.000004
-5.568000	0.000005
-5.556000	0.000005
-5.544000	0.000005
-5.532000	0.000006
-5.520000	0.000006
-5.508000	0.000007
-5.496000	0.000007
-5.484000	0.000008
-5.472000	0.000008
-5.460000	0.000009
-5.448000	0.000009
-5.436000	0.000010
-5.424000	0.000011
-5.412000	0.000012
-5.400000	0.000012
-5.388000	0.000013
-5.376000	0.000014
-5.364000	0.000015
-5.352000	0.000016
-5.340000	0.000017
-5.328000	0.000019
-5.316000	0.000020
-5.304000	0.000021
-5.292000	0.000023
-5.280000	0.000024
-5.268000	0.000026
-5.256000	0.000028
-5.244000	0.000030
-5.232000	0.000032
-5.220000	0.000034
-5.208000	0.000036
-5.196000	0.000039
-5.184000	0.000041
-5.172000	0.000044
-5.160000	0.000047
-5.148000	0.000050
-5.136000	0.000053
-5.124000	0.000056
-5.112000	0.000060
-5.100000	0.000064
-5.088000	0.000068
-5.076000	0.000072
-5.064000	0.000077
-5.052000	0.000082
-5.040000	0.000087
-5.028000	0.000092
-5.016000	0.000098
-5.004000	0.000104
-4.992000	0.000111
-4.980000	0.000117
-4.968000	0.000125
-4.956000	0.000132
-4.944000	0.000140
-4.932000	0.000149
-4.920000	0.000158
-4.908000	0.000167
-4.896000	0.000177
-4.884000	0.000188
-4.872000	0.000199
-4.860000	0.000210
-4.848000	0.000223
-4.836000	0.000236
-4.824000	0.000249
-4.812000	0.000264
-4.800000	0.000279
-4.788000	0.000295
-4.776000	0.000312
-4.764000	0.000329
-4.752000	0.000348
-4.740000	0.000367
-4.728000	0.000388
-4.716000	0.000410
-4.704000	0.000432
-4.692000	0.000456
-4.680000	0.000481
-4.668000	0.000507
-4.656000	0.000535
-4.644000	0.000564
-4.632000	0.000594
-4.620000	0.000626
-4.608000	0.000660
-4.596000	0.000695
-4.584000	0.000731
-4.572000	0.000770
-4.560000	0.000810
-4.548000	0.000853
-4.536000	0.000897
-4.524000	0.000943
-4.512000	0.000992
-4.500000	0.001042
-4.488000	0.001095
-4.476000	0.001151
-4.464000	0.001209
-4.452000	0.001269
-4.440000	0.001333
-4.428000	0.001399
-4.416000	0.001468
-4.404000	0.001540
-4.392000	0.001616
-4.380000	0.001695
-4.368000	0.001777
-4.356000	0.001862
-4.344000	0.001952
-4.332000	0.002045
-4.320000	0.002142
-4.308000	0.002243
-4.296000	0.002349
-4.284000	0.002459
-4.272000	0.002573
-4.260000	0.002693
-4.248000	0.002817
-4.236000	0.002946
-4.224000	0.003080
-4.212000	0.003220
-4.200000	0.003366
-4.188000	0.003517
-4.176000	0.003674
-4.164000	0.003837
-4.152000	0.004007
-4.140000	0.004184
-4.128000	0.004367
-4.116000	0.004557
-4.104000	0.004754
-4.092000	0.004959
-4.080000	0.005172
-4.068000	0.005393
-4.056000	0.005621
-4.044000	0.005859
-4.032000	0.006104
-4.020000	0.006359
-4.008000	0.006624
-3.996000	0.006897
-3.984000	0.007181
-3.972000	0.007474
-3.960000	0.007778
-3.948000	0.008092
-3.936000	0.008418
-3.924000	0.008754
-3.912000	0.009102
-3.900000	0.009462
-3.888000	0.009835
-3.876000	0.010219
-3.864000	0.010617
-3.852000	0.011028
-3.840000	0.011452
-3.828000	0.011890
-3.816000	0.012342
-3.804000	0.012809
-3.792000	0.013291
-3.780000	0.013788
-3.768000	0.014301
-3.756000	0.014830
-3.744000	0.015375
-3.732000	0.015938
-3.720000	0.016517
-3.708000	0.017114
-3.696000	0.017729
-3.684000	0.018362
-3.672000	0.019014
-3.660000	0.019686
-3.648000	0.020377
-3.636000	0.021088
-3.624000	0.021820
-3.612000	0.022572
-3.600000	0.023346
-3.588000	0.024142
-3.576000	0.024960
-3.564000	0.025800
-3.552000	0.026664
-3.540000	0.027551
-3.528000	0.028462
-3.516000	0.029398
-3.504000	0.030358
-3.492000	0.031344
-3.480000	0.032355
-3.468000	0.033393
-3.456000	0.034457
-3.444000	0.035548
-3.432000	0.036667
-3.420000	0.037814
-3.408000	0.038990
-3.396000	0.040194
-3.384000	0.041428
-3.372000	0.042691
-3.360000	0.043985
-3.348000	0.045309
-3.336000	0.046664
-3.324000	0.048051
-3.312000	0.049470
-3.300000	0.050922
-3.288000	0.052406
-3.276000	0.053923
-3.264000	0.055474
-3.252000	0.057060
-3.240000	0.058679
-3.228000	0.060334
-3.216000	0.062023
-3.204000	0.063749
-3.192000	0.065510
-3.180000	0.067308
-3.168000	0.069142
-3.156000	0.071014
-3.144000	0.072923
-3.132000	0.074870
-3.120000	0.076855
-3.108000	0.078878
-3.096000	0.080940
-3.084000	0.083041
-3.072000	0.085182
-3.060000	0.087362
-3.048000	0.089582
-3.036000	0.091842
-3.024000	0.094142
-3.012000	0.096483
-3.000000	0.098864
-2.988000	0.101286
-2.976000	0.103750
-2.964000	0.106255
-2.952000	0.108801
-2.940000	0.111389
-2.928000	0.114018
-2.916000	0.116689
-2.904000	0.119402
-2.892000	0.122157
-2.880000	0.124954
-2.868000	0.127792
-2.856000	0.130673
-2.844000	0.133596
-2.832000	0.136560
