E0=0.549072	epsilon=0.020000
-2.532000	0.094834
-2.520000	0.096723
-2.508000	0.098638
-2.496000	0.100579
-2.484000	0.102545
-2.472000	0.104538
-2.460000	0.106557
-2.448000	0.108601
-2.436000	0.110672
-2.424000	0.112769
-2.412000	0.114892
-2.400000	0.117042
-2.388000	0.119217
-2.376000	0.121419
-2.364000	0.123647
-2.352000	0.125902
-2.340000	0.128182
-2.328000	0.130489
-2.316000	0.132822
-2.304000	0.135181
-2.292000	0.137567
-2.280000	0.139978
-2.268000	0.142416
-2.256000	0.144880
-2.244000	0.147369
-2.232000	0.149885
-2.220000	0.152426
-2.208000	0.154993
-2.196000	0.157585
-2.184000	0.160203
-2.172000	0.162847
-2.160000	0.165516
-2.148000	0.168209
-2.136000	0.170928
-2.124000	0.173672
-2.112000	0.176440
-2.100000	0.179233
-2.088000	0.182050
-2.076000	0.184892
-2.064000	0.187757
-2.052000	0.190647
-2.040000	0.193559
-2.028000	0.196496
-2.016000	0.199455
-2.004000	0.202438
-1.992000	0.205443
-1.980000	0.208470
-1.968000	0.211520
-1.956000	0.214592
-1.944000	0.217685
-1.932000	0.220800
-1.920000	0.223936
-1.908000	0.227093
-1.896000	0.230270
-1.884000	0.233468
-1.872000	0.236685
-1.860000	0.239922
-1.848000	0.243178
-1.836000	0.246453
-1.824000	0.249747
-1.812000	0.253059
-1.800000	0.256389
-1.788000	0.259736
-1.776000	0.263100
-1.764000	0.266480
-1.752000	0.269878
-1.740000	0.273290
-1.728000	0.276719
-1.716000	0.280162
-1.704000	0.283620
-1.692000	0.287092
-1.680000	0.290578
-1.668000	0.294077
-1.656000	0.297589
-1.644000	0.301113
-1.632000	0.304649
-1.620000	0.308197
-1.608000	0.311755
-1.596000	0.315324
-1.584000	0.318903
-1.572000	0.322491
-1.560000	0.326089
-1.548000	0.329694
-1.536000	0.333307
-1.524000	0.336928
-1.512000	0.340556
-1.500000	0.344190
-1.488000	0.347829
-1.476000	0.351474
-1.464000	0.355123
-1.452000	0.358777
-1.440000	0.362434
-1.428000	0.366094
-1.416000	0.369756
-1.404000	0.373420
-1.392000	0.377085
-1.380000	0.380751
-1.368000	0.384417
-1.356000	0.388083
-1.344000	0.391747
-1.332000	0.395409
-1.320000	0.399069
-1.308000	0.402726
-1.296000	0.406380
-1.284000	0.410029
-1.272000	0.413673
-1.260000	0.417312
-1.248000	0.420945
-1.236000	0.424571
-1.224000	0.428190
-1.212000	0.431801
-1.200000	0.435404
-1.188000	0.438997
-1.176000	0.442580
-1.164000	0.446153
-1.152000	0.449715
-1.140000	0.453265
-1.128000	0.456802
-1.116000	0.460327
-1.104000	0.463838
-1.092000	0.467335
-1.080000	0.470816
-1.068000	0.474282
-1.056000	0.477732
-1.044000	0.481165
-1.032000	0.484581
-1.020000	0.487979
-1.008000	0.491357
-0.996000	0.494717
-0.984000	0.498056
-0.972000	0.501375
-0.960000	0.504672
-0.948000	0.507948
-0.936000	0.511201
-0.924000	0.514431
-0.912000	0.517637
-0.900000	0.520819
-0.888000	0.523976
-0.876000	0.527107
-0.864000	0.530213
-0.852000	0.533291
-0.840000	0.536342
-0.828000	0.539365
-0.816000	0.542359
-0.804000	0.545325
-0.792000	0.548260
-0.780000	0.551166
-0.768000	0.554040
-0.756000	0.556883
-0.744000	0.559694
-0.732000	0.562472
-0.720000	0.565217
-0.708000	0.567929
-0.696000	0.570606
-0.684000	0.573249
-0.672000	0.575856
-0.660000	0.578427
-0.648000	0.580962
-0.636000	0.583461
-0.624000	0.585922
-0.612000	0.588345
-0.600000	0.590730
-0.588000	0.593076
-0.576000	0.595383
-0.564000	0.597650
-0.552000	0.599876
-0.540000	0.602063
-0.528000	0.604208
-0.516000	0.606311
-0.504000	0.608373
-0.492000	0.610392
-0.480000	0.612368
-0.468000	0.614301
-0.456000	0.616190
-0.444000	0.618036
-0.432000	0.619837
-0.420000	0.621593
-0.408000	0.623304
-0.396000	0.624970
-0.384000	0.626590
-0.372000	0.628164
-0.360000	0.629691
-0.348000	0.631171
-0.336000	0.632605
-0.324000	0.633990
-0.312000	0.635329
-0.300000	0.636619
-0.288000	0.637861
-0.276000	0.639054
-0.264000	0.640199
-0.252000	0.641295
-0.240000	0.642341
-0.228000	0.643338
-0.216000	0.644286
-0.204000	0.645183
-0.192000	0.646031
-0.180000	0.646828
-0.168000	0.647575
-0.156000	0.648272
-0.144000	0.648918
-0.132000	0.649513
-0.120000	0.650057
-0.108000	0.650550
-0.096000	0.650991
-0.084000	0.651382
-0.072000	0.651721
-0.060000	0.652009
-0.048000	0.652245
-0.036000	0.652430
-0.024000	0.652563
-0.012000	0.652645
0.000000	0.652675
0.012000	0.652654
0.024000	0.652581
0.036000	0.652456
0.048000	0.652280
0.060000	0.652052
0.072000	0.651773
0.084000	0.651442
0.096000	0.651060
0.108000	0.650627
0.120000	0.650142
0.132000	0.649607
0.144000	0.649020
0.156000	0.648383
0.168000	0.647695
0.180000	0.646956
0.192000	0.646167
0.204000	0.645328
0.216000	0.644439
0.228000	0.643500
0.240000	0.642511
0.252000	0.641473
0.264000	0.640385
0.276000	0.639249
0.288000	0.638063
0.300000	0.636829
0.312000	0.635547
0.324000	0.634217
0.336000	0.632839
0.348000	0.631413
0.360000	0.629941
0.372000	0.628421
0.384000	0.626855
0.396000	0.625243
0.408000	0.623585
0.420000	0.621882
0.432000	0.620133
0.444000	0.618339
0.456000	0.616501
0.468000	0.614619
0.480000	0.612693
0.492000	0.610724
0.504000	0.608712
0.516000	0.606658
0.528000	0.604561
0.540000	0.602423
0.552000	0.600244
0.564000	0.598024
0.576000	0.595763
0.588000	0.593463
0.600000	0.591123
0.612000	0.588745
0.624000	0.586328
0.636000	0.583874
0.648000	0.581381
0.660000	0.578852
0.672000	0.576287
0.684000	0.573686
0.696000	0.571049
0.708000	0.568377
0.720000	0.565671
0.732000	0.562932
0.744000	0.560159
0.756000	0.557353
0.768000	0.554516
0.780000	0.551647
0.792000	0.548747
0.804000	0.545816
0.816000	0.542856
0.828000	0.539866
0.840000	0.536848
0.852000	0.533801
0.864000	0.530728
0.876000	0.527627
0.888000	0.524500
0.900000	0.521347
