E0=1.626748	epsilon=0.010000
-2.532000	0.280410
-2.520000	0.284172
-2.508000	0.287949
-2.496000	0.291740
-2.484000	0.295545
-2.472000	0.299362
-2.460000	0.303192
-2.448000	0.307032
-2.436000	0.310883
-2.424000	0.314743
-2.412000	0.318612
-2.400000	0.322488
-2.388000	0.326371
-2.376000	0.330260
-2.364000	0.334155
-2.352000	0.338053
-2.340000	0.341954
-2.328000	0.345858
-2.316000	0.349762
-2.304000	0.353667
-2.292000	0.357571
-2.280000	0.361473
-2.268000	0.365372
-2.256000	0.369268
-2.244000	0.373158
-2.232000	0.377042
-2.220000	0.380919
-2.208000	0.384788
-2.196000	0.388648
-2.184000	0.392497
-2.172000	0.396334
-2.160000	0.400159
-2.148000	0.403970
-2.136000	0.407766
-2.124000	0.411545
-2.112000	0.415308
-2.100000	0.419051
-2.088000	0.422775
-2.076000	0.426477
-2.064000	0.430158
-2.052000	0.433815
-2.040000	0.437447
-2.028000	0.441053
-2.016000	0.444633
-2.004000	0.448183
-1.992000	0.451704
-1.980000	0.455194
-1.968000	0.458652
-1.956000	0.462076
-1.944000	0.465466
-1.932000	0.468819
-1.920000	0.472136
-1.908000	0.475413
-1.896000	0.478651
-1.884000	0.481847
-1.872000	0.485001
-1.860000	0.488111
-1.848000	0.491177
-1.836000	0.494195
-1.824000	0.497167
-1.812000	0.500089
-1.800000	0.502961
-1.788000	0.505782
-1.776000	0.508549
-1.764000	0.511263
-1.752000	0.513922
-1.740000	0.516524
-1.728000	0.519068
-1.716000	0.521553
-1.704000	0.523978
-1.692000	0.526342
-1.680000	0.528642
-1.668000	0.530879
-1.656000	0.533050
-1.644000	0.535155
-1.632000	0.537193
-1.620000	0.539161
-1.608000	0.541060
-1.596000	0.542888
-1.584000	0.544643
-1.572000	0.546325
-1.560000	0.547933
-1.548000	0.549465
-1.536000	0.550920
-1.524000	0.552298
-1.512000	0.553596
-1.500000	0.554815
-1.488000	0.555953
-1.476000	0.557009
-1.464000	0.557982
-1.452000	0.558871
-1.440000	0.559675
-1.428000	0.560394
-1.416000	0.561025
-1.404000	0.561570
-1.392000	0.562025
-1.380000	0.562392
-1.368000	0.562668
-1.356000	0.562853
-1.344000	0.562946
-1.332000	0.562947
-1.320000	0.562855
-1.308000	0.562668
-1.296000	0.562387
-1.284000	0.562010
-1.272000	0.561537
-1.260000	0.560968
-1.248000	0.560302
-1.236000	0.559537
-1.224000	0.558674
-1.212000	0.557713
-1.200000	0.556652
-1.188000	0.555491
-1.176000	0.554230
-1.164000	0.552868
