0	1
1	9
2	17
3	27
4	45
5	66
6	97
7	120
8	153
9	195
10	230
11	266
12	298
13	331
14	367
15	395
16	429
17	475
18	529
19	582
20	637
21	697
22	752
23	821
24	895
25	958
26	1030
27	1100
28	1172
29	1248
30	1327
31	1399
32	1478
33	1554
34	1646
35	1718
36	1782
37	1863
38	1939
39	2023
40	2105
41	2170
42	2236
43	2313
44	2417
45	2508
46	2588
47	2682
48	2790
49	2892
50	3022
51	3167
52	3298
53	3417
54	3545
55	3656
56	3785
57	3897
58	3999
59	4108
60	4229
61	4332
62	4426
63	4516
64	4629
65	4740
66	4853
67	4957
68	5058
69	5145
70	5257
71	5369
72	5473
73	5578
74	5682
75	5780
76	5886
77	5989
78	6079
79	6164
80	6236
81	6318
82	6422
83	6516
84	6611
85	6698
86	6790
87	6896
88	6992
89	7087
90	7174
91	7265
92	7355
93	7428
94	7499
95	7565
96	7648
97	7728
98	7808
99	7877
100	7952
101	8022
102	8077
103	8138
104	8198
105	8257
106	8303
107	8351
108	8398
109	8454
110	8492
111	8527
112	8558
113	8592
114	8637
115	8673
116	8702
117	8728
118	8765
119	8801
120	8828
121	8856
122	8884
123	8906
124	8930
125	8949
126	8976
127	9006
128	9035
129	9060
130	9081
131	9095
132	9111
133	9134
134	9153
135	9170
136	9185
137	9199
138	9220
139	9235
140	9243
141	9248
142	9258
143	9269
144	9281
145	9286
146	9292
147	9297
148	9305
149	9316
150	9322
151	9326
152	9333
153	9340
154	9343
